ref_pmid,ref_is_clinical_trial_pt_type,ref_publication_types,ref_primary_nct_number,ref_primary_nct_source,ref_all_registry_ids,ref_all_nct_numbers,ref_all_structured_nct_numbers,ref_all_nct_source_pairs,ref_all_structured_nct_source_pairs,ref_has_abstract,ref_abstract,ref_fetch_status
30456495,False,"Comparative Study;Journal Article;Research Support, Non-U.S. Gov't",,,,,,,,True,"Our aim was to determine if end-stage liver disease (ESLD) is associated with an attenuated response to vasodilator-stress or dobutamine-stress using <sup>82</sup>Rb-PET MPI with blood flow quantification. Pre-liver transplant patients who had a normal dipyridamole-stress (n = 27) or dobutamine-stress (n = 26) <sup>82</sup>Rb PET/CT MPI study with no identifiable coronary artery calcium were identified retrospectively and compared to a prospectively identified low-risk of liver disease dipyridamole-stress control group (n = 20). The dipyridamole-stress liver disease group had a lower myocardial flow reserve (MFR) (1.89 ± 0.79) than the control group (2.79 ± 0.96, P < .05). The dobutamine-stress group had a higher MFR than both other groups (3.69 ± 1.49, P < .05). A moderate negative correlation between MELD score and MFR was demonstrated for the dipyridamole-stress liver disease group (r = - 0.473, P < .05). This correlation was not observed for the dobutamine-stress liver disease group (r = - 0.253, P = .21). The liver failure group as a whole (n = 53) had a higher resting myocardial blood flow (0.97 ± 0.33 mL/min/g) than the control group (0.82 ± 0.26, P < .05). Dipyridamole demonstrates an attenuated vasodilatory response in ESLD patients compared to a non-ESLD control group related to higher resting blood flow and comparatively reduced stress blood flow. Dobutamine does not demonstrate this effect implying it may be the preferred pharmacologic MPI stress agent for ESLD patients.",success
23982342,False,Evaluation Study;Journal Article;Observational Study,,,,,,,,True,"Preoperative cardiovascular risk stratification in orthotopic liver transplantation candidates has proven challenging due to limitations of current noninvasive modalities. Additionally, the preoperative workup is logistically cumbersome and expensive given the need for separate cardiac, vascular, and abdominal imaging. We evaluated the feasibility of a ""one-stop shop"" in a magnetic resonance suite, performing assessment of cardiac structure, function, and viability, along with simultaneous evaluation of thoracoabdominal vasculature and liver anatomy. In this pilot study, patients underwent steady-state free precession sequences and stress cardiac magnetic resonance (CMR), thoracoabdominal magnetic resonance angiography, and abdominal magnetic resonance imaging (MRI) on a standard MRI scanner. Pharmacologic stress was performed using regadenoson, adenosine, or dobutamine. Viability was assessed using late gadolinium enhancement. Over 2 years, 51 of 77 liver transplant candidates (mean age, 56 years; 35% female; mean Model for End-stage Liver Disease score, 10.8; range, 6-40) underwent MRI. All referred patients completed standard dynamic CMR, 98% completed stress CMR, 82% completed late gadolinium enhancement for viability, 94% completed liver MRI, and 88% completed magnetic resonance angiography. The mean duration of the entire study was 72 min, and 45 patients were able to complete the entire examination. Among all 51 patients, 4 required follow-up coronary angiography (3 for evidence of ischemia on perfusion CMR and 1 for postoperative ischemia), and none had flow-limiting coronary disease. Nine proceeded to orthotopic liver transplantation (mean 74 days to transplantation after MRI). There were six ascertained mortalities in the nontransplant group and one death in the transplanted group. Explant pathology confirmed 100% detection/exclusion of hepatocellular carcinoma. No complications during CMR examination were encountered. In this proof-of-concept study, it appears feasible to perform a comprehensive, efficient, and safe preoperative liver transplant imaging in a CMR suite-a one-stop shop, even in seriously ill patients.",success
29498104,False,Journal Article;Observational Study,,,,,,,,True,"The preoperative workup of orthotopic liver transplantation (OLT) patients is practically complex given the need for multiple imaging modalities. We recently demonstrated in our proof-of-concept study the value of a one-stop-shop approach using cardiovascular MRI (CMR) to address this complex problem. However, this approach requires further validation in a larger cohort, as detection of hepatocellular carcinoma (HCC) as well as cardiovascular risk assessment is critically important in these patients. We hypothesized that coronary risk assessment and HCC detectability is acceptable using the one-stop-shop CMR approach. In this observational study, patients underwent CMRI evaluation including cardiac function, stress CMR, thoracoabdominal MRA, and abdominal MRI on a standard MRI scanner in one examination. Over 8 years, 252 OLT candidates underwent evaluation in the cardiac MRI suit. The completion rates for each segment of the CMR examination were 99% for function, 95% completed stress CMR, 93% completed LGE for viability, 85% for liver MRI, and 87% for MRA. A negative CMR stress examination had 100% CAD event-free survival at 12 months. A total of 63 (29%) patients proceeded to OLT. Explant pathology confirmed detection/exclusion of HCC. This study further defines the population suitable for the one-stop-shop CMR concept for preop evaluation of OLT candidates providing a road map for integrated testing in this complex patient population for evaluation of cardiac risk and detection of HCC lesions.",success
25880971,False,Journal Article,,,,,,,,True,"The evolution of metabolic and cardiovascular disease (CVD) complications after liver transplantation (LT) is poorly characterized. We aim to illustrate the prevalence of obesity and metabolic syndrome (MS), define the cumulative incidence of CVD, and characterize risk factors associated with these comorbidities after LT. A retrospective review of 455 consecutive LT recipients from 1999 to 2004 with an 8- to 12-year follow-up was performed. Obesity increased from 23.8% (4 months) to 40.8% (3 years) after LT. Increase in body mass index predicted MS at 1 year after LT (odds ratio, 1.1; P < 0.001, per point). CVD developed in 10.6%, 20.7%, and 30.3% of recipients within 1, 5, and 8 years, respectively. Age, diabetes, hypertension, glomerular filtration rate < 60 mL/minute, prior CVD, ejection fraction < 60%, left ventricular hypertrophy, and serum troponin (TN) > 0.07 ng/mL were associated with CVD on univariate analysis. Age (hazard ratio [HR], 1.03; 95% confidence interval [CI], 1.01-1.06; P = 0.019), diabetes (HR, 1.78; 95% CI, 1.09-2.92; P = 0.022), prior history of CVD (HR, 2.46; 95% CI, 1.45-4.16; P < 0.001), and serum TN > 0.07 ng/mL (HR, 1.98; 95% CI, 1.23-3.18; P = 0.005) were independently associated with CVD in the long term. Smoking history (ever), sex, hyperlipidemia, and serum ferritin levels were not predictive of CVD. Tacrolimus use versus noncalcineurin-based immunosuppression (HR, 0.26; 95% CI, 0.14-0.49; P < 0.001) was associated with reduced risk of CVD but not versus cyclosporine (HR, 0.67; 95% CI, 0.30-1.49; P = 0.322). CVD is common after LT. Independent of MS, more data are needed to identify nonconventional risk factors and biomarkers like serum TN. Curbing weight gain in the early months after transplant may impact MS and subsequent CVD in the long term.",success
24692322,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",,,,,,,,True,"In the nontransplant setting, aberrant serum adipokine levels are associated with cardiovascular (CV) disease. The effects of liver transplantation (LT) on serum adipokine levels and their association with post-LT CV disease have not been studied. A nested case-control study of 77 patients with major CV events more than 4 months after LT analyzed serum adiponectin, resistin, leptin, C-reactive protein, and apolipoprotein levels measured before transplantation and 4, 12, and 24 months after LT. Adiponectin and resistin levels decreased dramatically after LT in all patients. Recipients with CV disease had lower levels of adiponectin and higher levels of resistin, leptin, C-reactive protein, and apolipoprotein B100 than controls. The pre-LT adiponectin level was associated with a 16% increased risk for CV events for every 1 μg/mL decrease in adiponectin [hazard ratio (HR) = 0.84, P = 0.046]. Pre-LT C-reactive protein levels (HR = 1.03, P = 0.047) and 12-month C-reactive protein levels (HR = 1.03, P = 0.03) were associated with CV events after LT. Pre-LT Diabetes (HR = 2.14, P = 0.09), and post-LT resistin (HR = 1.07, P = 0.07), and apolipoprotein B (HR = 1.08, P = 0.08) were associated with a nonsignificantly increased risk of CV events in this small sample size. In conclusion, pre- and post-LT changes in serum adipokine and inflammatory markers may be signals of an increased risk of CV events after LT, but further study is needed.",success
31122618,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",,,,,,,,True,"Guidelines to evaluate patients for coronary artery disease (CAD) during preoperative evaluation for orthotopic liver transplantation (OLT) are conflicting. Cardiac catheterization is not without risk in patients with end-stage liver disease. No study to date has looked at the utility of non-electrocardiogram-gated chest computed tomography (CT) in the preliver transplant population. Our hypothesis was that coronary artery calcium scores (CACSs) from chest CT scans ordered during the liver transplant workup can identify patients who would benefit from invasive angiography. Nine hundred and fifty-three patients who underwent coronary angiography as part of their OLT workup were considered. Charts were randomly selected and reviewed for the presence of a chest CT performed before coronary angiography during the OLT workup. Agatston and Weston scores were calculated. CACS results were compared with coronary angiography findings. Nine of 54 patients were found to have obstructive CAD by angiography. Receiver-operating characteristic analysis demonstrated that an Agatston score of 251 and a Weston score of 6 maximized sensitivity and specificity for detection of obstructive coronary disease. An Agatston score <4 or Weston score <2 excluded the presence of obstructive CAD; using these thresholds, 13 patients (24%) or 15 patients (28%), respectively, could have theoretically avoided catheterization without missing significant CAD. In conclusion, our data identify the strength of CACS in ruling out coronary disease in patients being evaluated for OLT. Calcium scoring from non-electrocardiogram-gated CT studies may be integrated into preoperative algorithms to rule out obstructive CAD and help avoid invasive angiography in this high-risk population.",success
25416273,False,Journal Article;Observational Study,,,,,,,,True,"Coronary computed tomographic angiography (coronary CT) is a non-invasive test for diagnosis of cardiac function. Coronary calcium scores determined by coronary CT are associated with cardiovascular risk factors. However, no studies have investigated the association between coronary calcium scores and cardiovascular complications after liver transplantation (LT). We therefore evaluated the utility of preoperative coronary calcium scores for predicting early postoperative cardiovascular complications in LT recipients. Between 2010 and 2012, 443 LT recipients were analysed retrospectively. Preoperative cardiovascular assessments, including coronary CT, were performed. A coronary calcium score >400 was defined as a positive finding. Predictive factors of early postoperative cardiovascular complications were evaluated by univariate and multivariate analyses. Major cardiovascular complications occurring during a period of 1 month after LT were noted. Of the 443 patients, 38 (8.6%) experienced one or more cardiovascular complications. Positive coronary CT findings were seen in 11 (2.5%) patients. In the multivariate analysis, a coronary calcium score >400 {odds ratio (OR)=4.62 [95% confidence interval (CI): 1.14-18.72], P=0.032} and female sex [OR=2.76 (1.37-5.57), P=0.005] were predictive of cardiovascular complications. A preoperative coronary calcium score of >400 predicted cardiovascular complications occurring 1 month after LT, suggesting that preoperative evaluation of coronary calcium scores could help predict early postoperative cardiovascular complications in LT recipients.",success
24507057,False,Journal Article,,,,,,,,True,"Coronary artery disease (CAD) is a common cause of morbidity and mortality in liver transplant (LT) recipients. To date there is no consensus on the preferred screening tests to detect CAD in the pre-LT population. Therefore the aim of this study was to: 1) evaluate the utility of a noninvasive tool (cardiac computerized tomography [CT] scan); and 2) determine the prevalence of CAD in low-risk LT candidates. Using our transplant database we identified all LT candidates classified as low risk for CAD. All low-risk candidates underwent cardiac CT scan for coronary calcium score (CCS) estimation. Those with CCS >100 underwent coronary angiogram, and those with <100 underwent stress test and if stress test was positive then coronary angiography was performed. The Agatston calcium score was classified as: normal (0), mild (1-100), moderate (101-400), severe (401-1,000), or extensive (>1,000). Eighty-five LT candidates were classified as low risk and underwent cardiac CT scan. The mean calcium score was 325 (range, 0-3,707). In our study cohort, 21% had normal CCS score, 43% mild, 13% moderate, 11% severe, and 12% extensive. A calcium score >400 was significantly associated with CAD on angiography (P = .02). Although male sex was significantly associated with the presence of CAD (P = .006), there was no correlation with age, ethnicity, liver diagnosis, or Model for End-Stage Liver Disease score. Prevalence of asymptomatic CAD in this low-risk population is relatively high. Cardiac CT is well tolerated and is a useful noninvasive screening tool in LT candidates. Future studies to determine its utility as a prognostic tool after LT will be invaluable.",success
33690919,False,Journal Article,,,,,,,,True,"Coronary artery disease is a major cause of morbidity and mortality in liver transplant patients. Coronary artery calcium (CAC) score has been used to evaluate the risk of CAD in non-cirrhotic patients. However, its significance in cirrhotic patients is unknown. This study aimed to identify factors associated with elevated CAC scores in patients with end-stage liver disease undergoing liver transplant evaluation. We retrospectively reviewed all patients who underwent liver transplantation evaluation and had coronary CT scan between January 2015 and December 2018. Patients with prior history of CAD were excluded. CAC score was calculated based on the method described by Agatston. Sixty-two patients were included. 37.1% had alcohol-related liver disease and 27.4% had NASH cirrhosis. Mean CAC score was 261.1 ± SD, 463.84. Alcohol-related liver disease, male gender, and hypertension were significantly associated with CAC score >100 and only alcohol-related liver disease was associated with CAC score >300. In logistic regression, patients with alcohol-related liver disease had more than sixfold increase in risk of having CAC scores >100 and 300 (OR 6.14, and 6.70, respectively). Alcohol-related liver disease, male gender, and hypertension were significantly associated with an increased CAC score >100. However, alcohol-related liver disease was the only factor associated with CAC score >300.",success
15992649,True,Clinical Trial;Comparative Study;Journal Article,,,,,,,,True,"The aim of the present study was to determine the diagnostic accuracy of 64-slice computed tomography (CT) to identify and quantify atherosclerotic coronary lesions in comparison with catheter-based angiography and intravascular ultrasound (IVUS). Currently, the ability of multislice CT to quantify the degree of coronary artery stenosis and dimensions of coronary plaques has not been evaluated. We included 59 patients scheduled for coronary angiography due to stable angina pectoris. A contrast-enhanced 64-slice CT (Senation 64, Siemens Medical Solutions, Forchheim, Germany) was performed before the invasive angiogram. In a subset of 18 patients, IVUS of 32 vessels was part of the catheterization procedure. In 55 of 59 patients, 64-slice CT enabled the visualization of the entire coronary tree with diagnostic image quality (American Heart Association 15-segment model). The overall correlation between the degree of stenosis detected by quantitative coronary angiography compared with 64-slice CT was r = 0.54. Sensitivity for the detection of stenosis <50%, stenosis >50%, and stenosis >75% was 79%, 73%, and 80%, respectively, and specificity was 97%. In comparison with IVUS, 46 of 55 (84%) lesions were identified correctly. The mean plaque areas and the percentage of vessel obstruction measured by IVUS and 64-slice CT were 8.1 mm2 versus 7.3 mm2 (p < 0.03, r = 0.73) and 50.4% versus 41.1% (p < 0.001, r = 0.61), respectively. Contrast-enhanced 64-slice CT is a clinically robust modality that allows the identification of proximal coronary lesions with excellent accuracy. Measurements of plaque and lumen areas derived by CT correlated well with IVUS. A major limitation is the insufficient ability of CT to exactly quantify the degree of stenosis.",success
