sex_eligibility,nct_sex_includes_women,nct_sex_women_only,ref_title_mentions_sex,ref_abstract_mentions_sex,nct_registry_mentions_sex,any_source_mentions_sex_differences,any_source_mentions_sex_subgroup,any_source_mentions_sex_stratification,any_source_mentions_sex_interaction,any_source_pregnancy_related,any_source_menopause_related,any_source_contraception_required,any_source_excludes_pregnant_women,any_source_excludes_childbearing_potential,any_source_reproductive_health,any_source_maternal_offspring,any_source_lactation_breast,any_source_fertility_related,any_source_hormonal_related,any_source_sex_hormone_related,any_source_menstrual_cycle,any_source_womens_conditions,any_source_gender_identity,sex_evidence_snippets,exclusion_evidence_snippets,guideline_pmid,ref_pmid,any_source_hormonal_considerations,nct_number,ref_primary_nct_number,ref_primary_nct_source
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,28449780.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,11581597.0,,,,
ALL,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,19679246.0,,NCT00209274,NCT00209274,databank
ALL,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,19679246.0,,NCT00209339,NCT00209274,databank
ALL,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,26718672.0,,NCT00209274,NCT00209274,databank
,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,21777895.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,19660613.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,19597051.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,20031729.0,,,,
,,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,21251638.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,30898198.0,,,,
ALL,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,28662805.0,,NCT01737528,NCT01737528,databank
,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,31343669.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,20602478.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,14755804.0,,,,
,,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,29096801.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,31320029.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,20552373.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,19801196.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,17671805.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,18372149.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,12368674.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,31857196,22575325.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,26740032.0,,,,
,,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,28146260.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,23230306.0,,,,
,,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,26643740.0,,,,
,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,12468705.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,15568194.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,31857196,29054308.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,26184623.0,,,,
ALL,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,23644082.0,,NCT01737528,NCT01737528,databank
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,22999725.0,,,,
,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,31320030.0,,,,
,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,31857196,28476349.0,,,,
