Authors,AuthorsWithAffiliationNameFull,AuthorsWithAffiliationNameInitial,AuthorsWithAffiliationAffiliation,AllAffiliations,Abstract,date_year,date_monthY,date_mdY,PMID,PMCID,DOI,JournalTitle,ArticleTitle,PageStart,PageEnd,Volume,Issue,MeSH_Terms,MeSH_Major,MeSH_with_Qualifiers,Keywords,DocumentType
"Bowman L, Weidinger F, Albert MA, Fry ETA, Pinto FJ, Clinical Trial Expert Group and ESC Patient Forum",,,,"['', 'president, world heart federation, geneva, switzerland; department of cardiology, santa maria university hospital, chuln e.p.e., ccul, university of lisbon, lisbon, portugal.', 'president, american college of cardiology, washington, dc, usa; chair, ascension health cardiovascular service line, indianapolis, indiana, usa.', 'president, american heart association. walter a. haas-lucie stern endowed chair in cardiology and admissions dean, university of california san francisco medical school. director, center for the study of adversity and cardiovascular disease (nurture center), san francisco, california, usa.', 'clinical trial service unit and epidemiological studies unit, nufﬁeld department of population health, university of oxford, oxford, united kingdom; medical research council population health research unit, nufﬁeld department of population health, university of oxford, oxford, united kingdom. electronic address: louise.bowman@ndph.ox.ac.uk.', 'president, european society of cardiology, 2nd medical department with cardiology and intensive care medicine, klinik landstrasse, vienna, austria.']",,2023,Mar 2023,03/28/2023,36529563,,10.1016/j.jacc.2022.12.001,Journal of the American College of Cardiology,"Randomized Trials Fit for the 21st Century: A Joint Opinion From the European Society of Cardiology, American Heart Association, American College of Cardiology, and the World Heart Federation.",1205,1210,81,12,"Humans; United States; American Heart Association; Randomized Controlled Trials as Topic; Cardiology; Heart; Cardiovascular System; Societies, Medical",Cardiology; Cardiovascular System,"Humans; United States; American Heart Association; Randomized Controlled Trials as Topic; Cardiology; Heart; Cardiovascular System; Societies, Medical",,"Practice Guideline, Journal Article"
"Damluji AA, Forman DE, Wang TY, Chikwe J, Kunadian V, Rich MW, Young BA, Page RL, DeVon HA, Alexander KP, American Heart Association Cardiovascular Disease in Older Populations Committee of the Council on Clinical Cardiology and Council on Cardiovascular and Stroke Nursing; Council on Cardiovascular Radiology and Intervention; and Council on Lifestyle and Cardiometabolic Health",,,,[''],"Diagnostic and therapeutic advances during the past decades have substantially improved health outcomes for patients with acute coronary syndrome. Both age-related physiological changes and accumulated cardiovascular risk factors increase the susceptibility to acute coronary syndrome over a lifetime. Compared with younger patients, outcomes for acute coronary syndrome in the large and growing demographic of older adults are relatively worse. Increased atherosclerotic plaque burden and complexity of anatomic disease, compounded by age-related cardiovascular and noncardiovascular comorbid conditions, contribute to the worse prognosis observed in older individuals. Geriatric syndromes, including frailty, multimorbidity, impaired cognitive and physical function, polypharmacy, and other complexities of care, can undermine the therapeutic efficacy of guidelines-based treatments and the resiliency of older adults to survive and recover, as well. In this American Heart Association scientific statement, we (1) review age-related physiological changes that predispose to acute coronary syndrome and management complexity; (2) describe the influence of commonly encountered geriatric syndromes on cardiovascular disease outcomes; and (3) recommend age-appropriate and guideline-concordant revascularization and acute coronary syndrome management strategies, including transitions of care, the use of cardiac rehabilitation, palliative care services, and holistic approaches. The primacy of individualized risk assessment and patient-centered care decision-making is highlighted throughout.",2023,Jan 2023,01/17/2023,36503287,PMC10312228,10.1161/CIR.0000000000001112,Circulation,Management of Acute Coronary Syndrome in the Older Adult Population: A Scientific Statement From the American Heart Association.,e32,e62,147,3,United States; Humans; Aged; Acute Coronary Syndrome; Risk Factors; American Heart Association; Risk Assessment; Prognosis,Acute Coronary Syndrome,"United States/epidemiology; Humans; Aged; Acute Coronary Syndrome/diagnosis, epidemiology, therapy; Risk Factors; American Heart Association; Risk Assessment; Prognosis",AHA Scientific Statements; acute coronary syndrome; cardiovascular diseases; frailty; geriatric assessment; multimorbidity; polypharmacy,"Journal Article, Review"
"Chow SL, Bozkurt B, Baker WL, Bleske BE, Breathett K, Fonarow GC, Greenberg B, Khazanie P, Leclerc J, Morris AA, Reza N, Yancy CW, American Heart Association Clinical Pharmacology Committee and Heart Failure and Transplantation Committee of the Council on Clinical Cardiology; Council on Epidemiology and Prevention; and Council on Cardiovascular and Stroke Nursing",,,,[''],"Complementary and alternative medicines (CAM) are commonly used across the world by diverse populations and ethnicities but remain largely unregulated. Although many CAM agents are purported to be efficacious and safe by the public, clinical evidence supporting the use of CAM in heart failure remains limited and controversial. Furthermore, health care professionals rarely inquire or document use of CAM as part of the medical record, and patients infrequently disclose their use without further prompting. The goal of this scientific statement is to summarize published efficacy and safety data for CAM and adjunctive interventional wellness approaches in heart failure. Furthermore, other important considerations such as adverse effects and drug interactions that could influence the safety of patients with heart failure are reviewed and discussed.",2023,Jan 2023,01/10/2023,36475715,,10.1161/CIR.0000000000001110,Circulation,Complementary and Alternative Medicines in the Management of Heart Failure: A Scientific Statement From the American Heart Association.,e4,e30,147,2,United States; Humans; Complementary Therapies; American Heart Association; Heart Failure,Complementary Therapies; Heart Failure,United States; Humans; Complementary Therapies; American Heart Association; Heart Failure/therapy,AHA Scientific Statements; coenzyme Q10; complementary therapies; dietary supplements; heart failure; tai chi; yoga,"Journal Article, Review"
"Cury RC, Leipsic J, Abbara S, Achenbach S, Berman D, Bittencourt M, Budoff M, Chinnaiyan K, Choi AD, Ghoshhajra B, Jacobs J, Koweek L, Lesser J, Maroules C, Rubin GD, Rybicki FJ, Shaw LJ, Williams MC, Williamson E, White CS, Villines TC, Blankstein R",,,,"[""brigham and women's hospital, harvard medical school, boston, ma, usa. electronic address: rblankstein@bwh.harvard.edu."", 'david geffen school of medicine, ucla, los angeles, ca, usa.', 'miami cardiac and vascular institute and baptist health of south florida, 8900 n kendall drive, miami fl, 33176, usa. electronic address: rcury@baptisthealth.net.', 'university of edinburgh, edinburgh, uk.', 'division of cardiology, university of pittsburgh, pittsburgh, pa, usa.', 'icahn school of medicine at mount sinai, new york, ny, usa.', 'department of radiology, university of british columbia, vancouver, bc, canada.', 'the george washington university school of medicine, washington, dc, usa.', 'nyu langone medical center, new york, ny, usa.', 'department of medical imaging, university of arizona, tucson, az, usa.', 'department of radiology, university of cincinnati college of medicine, cincinnati, oh, usa.', 'university of maryland, college park, md, usa.', 'department of radiology, ut southwestern medical center, dallas, tx, usa.', 'cedars-sinai medical center, los angeles, ca, usa.', 'division of cardiology, university of virginia health system, charlottesville, va, usa.', 'department of radiology, mayo clinic, rochester, mn, usa.', 'department of radiology, massachusetts general hospital, boston, ma, usa.', 'beaumont hospital, royal oak, mi, usa.', 'division of cardiology, minneapolis heart institute, minneapolis, mn, usa.', 'department of radiology, duke university, durham, nc, usa.', 'department of radiology, naval medical center, portsmouth, va, usa.', 'friedrich-alexander-universität, department of cardiology, erlangen, germany.']","Coronary Artery Disease Reporting and Data System (CAD-RADS) was created to standardize reporting system for patients undergoing coronary CT angiography (CCTA) and to guide possible next steps in patient management. The goal of this updated 2022 CAD-RADS 2.0 is to improve the initial reporting system for CCTA by considering new technical developments in Cardiac CT, including data from recent clinical trials and new clinical guidelines. The updated CAD-RADS classification will follow an established framework of stenosis, plaque burden, and modifiers, which will include assessment of lesion-specific ischemia using CT fractional-flow-reserve (CT-FFR) or myocardial CT perfusion (CTP), when performed. Similar to the method used in the original CAD-RADS version, the determinant for stenosis severity classification will be the most severe coronary artery luminal stenosis on a per-patient basis, ranging from CAD-RADS 0 (zero) for absence of any plaque or stenosis to CAD-RADS 5 indicating the presence of at least one totally occluded coronary artery. Given the increasing data supporting the prognostic relevance of coronary plaque burden, this document will provide various methods to estimate and report total plaque burden. The addition of P1 to P4 descriptors are used to denote increasing categories of plaque burden. The main goal of CAD-RADS, which should always be interpreted together with the impression found in the report, remains to facilitate communication of test results with referring physicians along with suggestions for subsequent patient management. In addition, CAD-RADS will continue to provide a framework of standardization that may benefit education, research, peer-review, artificial intelligence development, clinical trial design, population health and quality assurance with the ultimate goal of improving patient care.",2022,Nov 2022,,36436841,,10.1016/j.jacr.2022.09.012,Journal of the American College of Radiology : JACR,"CAD-RADS™ 2.0 - 2022 Coronary Artery Disease - Reporting and Data System.: An expert consensus document of the Society of Cardiovascular Computed Tomography (SCCT), the American College of Cardiology (ACC), the American College of Radiology (ACR) and the North America Society of Cardiovascular Imaging (NASCI).",1185,1212,19,11,"Humans; United States; Coronary Artery Disease; Consensus; Constriction, Pathologic; Artificial Intelligence; Predictive Value of Tests; Computed Tomography Angiography; Coronary Stenosis; Cardiology; North America; Radiology",Coronary Artery Disease; Coronary Stenosis; Cardiology; Radiology,"Humans; United States; Coronary Artery Disease/diagnostic imaging; Consensus; Constriction, Pathologic; Artificial Intelligence; Predictive Value of Tests; Computed Tomography Angiography; Coronary Stenosis; Cardiology; North America; Radiology",CAD-RADS; Coronary CTA; Coronary artery disease; Ischemia; Plaque burden; Report standardization terminology; Reporting and data system; Stenosis severity,"Practice Guideline, Journal Article"
"Writing Committee, Birtcher KK, Allen LA, Anderson JL, Bonaca MP, Gluckman TJ, Hussain A, Kosiborod M, Mehta LS, Virani SS",,,,[''],,2023,Jan 2023,01/24/2023,36307329,,10.1016/j.jacc.2022.08.754,Journal of the American College of Cardiology,"2022 ACC Expert Consensus Decision Pathway for Integrating Atherosclerotic Cardiovascular Disease and Multimorbidity Treatment: A Framework for Pragmatic, Patient-Centered Care: A Report of the American College of Cardiology Solution Set Oversight Committee.",292,317,81,3,Humans; United States; Cardiovascular Diseases; Consensus; Multimorbidity; Cardiology; Cardiovascular System; Atherosclerosis; American Heart Association,Cardiovascular Diseases; Cardiology; Cardiovascular System; Atherosclerosis,"Humans; United States/epidemiology; Cardiovascular Diseases/epidemiology, therapy; Consensus; Multimorbidity; Cardiology; Cardiovascular System; Atherosclerosis/epidemiology, therapy; American Heart Association",4-domain framework; ACC Expert Consensus Decision Pathway; ASCVD; deprescribing; geriatrics; guideline stacking; multimorbidity,"Practice Guideline, Journal Article"
"Cheng XS, VanWagner LB, Costa SP, Axelrod DA, Bangalore S, Norman SP, Herzog CA, Lentine KL, American Heart Association Council on the Kidney in Cardiovascular Disease and Council on Cardiovascular Radiology and Intervention",,,,[''],"Coronary heart disease is an important source of mortality and morbidity among kidney transplantation and liver transplantation candidates and recipients and is driven by traditional and nontraditional risk factors related to end-stage organ disease. In this scientific statement, we review evidence from the past decade related to coronary heart disease screening and management for kidney and liver transplantation candidates. Coronary heart disease screening in asymptomatic kidney and liver transplantation candidates has not been demonstrated to improve outcomes but is common in practice. Risk stratification algorithms based on the presence or absence of clinical risk factors and physical performance have been proposed, but a high proportion of candidates still meet criteria for screening tests. We suggest new approaches to pretransplantation evaluation grounded on the presence or absence of known coronary heart disease and cardiac symptoms and emphasize multidisciplinary engagement, including involvement of a dedicated cardiologist. Noninvasive functional screening methods such as stress echocardiography and myocardial perfusion scintigraphy have limited accuracy, and newer noninvasive modalities, especially cardiac computed tomography-based tests, are promising alternatives. Emerging evidence such as results of the 2020 International Study of Comparative Health Effectiveness With Medical and Invasive Approaches-Chronic Kidney Disease trial emphasizes the vital importance of guideline-directed medical therapy in managing diagnosed coronary heart disease and further questions the value of revascularization among asymptomatic kidney transplantation candidates. Optimizing strategies to disseminate and implement best practices for medical management in the broader end-stage organ disease population should be prioritized to improve cardiovascular outcomes in these populations.",2022,Nov 2022,11/22/2022,36252095,PMC10124159,10.1161/CIR.0000000000001104,Circulation,Emerging Evidence on Coronary Heart Disease Screening in Kidney and Liver Transplantation Candidates: A Scientific Statement From the American Heart Association: Endorsed by the American Society of Transplantation.,e299,e324,146,21,Humans; American Heart Association; Coronary Artery Disease; Kidney Transplantation; Liver Transplantation; Mass Screening; United States; Clinical Trials as Topic,Coronary Artery Disease; Mass Screening,Humans; American Heart Association; Coronary Artery Disease/diagnosis; Kidney Transplantation; Liver Transplantation; Mass Screening; United States; Clinical Trials as Topic,AHA Scientific Statements; coronary angiography; coronary disease; exercise test; kidney transplantation; liver transplantation; mass screening; myocardial ischemia; risk evaluation and mitigation; risk factors,"Journal Article, Review"
"Bradley EA, Winchester D, Alfonso CE, Carpenter AJ, Cohen MS, Coleman DM, Jacob M, Jneid H, Leal MA, Mahmoud Z, Mehta LS, Sivaram CA, American Heart Association Fellows in Training and Early Career Committee of the Council on Clinical Cardiology; Council on Cardiovascular Surgery and Anesthesia; Council on Lifelong Congenital Heart Disease and Heart Health in the Young; and Stroke Council",,,,[''],"Academic medicine as a practice model provides unique benefits to society. Clinical care remains an important part of the academic mission; however, equally important are the educational and research missions. More specifically, the sustainability of health care in the United States relies on an educated and expertly trained physician workforce directly provided by academic medicine models. Similarly, the research charge to deliver innovation and discovery to improve health care and to cure disease is key to academic missions. Therefore, to support and promote the growth and sustainability of academic medicine, attracting and engaging top talent from fellows in training and early career faculty is of vital importance. However, as the health care needs of the nation have risen, clinicians have experienced unprecedented demand, and individual wellness and burnout have been examined more closely. Here, we provide a close look at the unique drivers of burnout in academic cardiovascular medicine and propose system-level and personal interventions to support individual wellness in this model.",2022,Oct 2022,10/18/2022,36120864,,10.1161/CIR.0000000000001093,Circulation,Physician Wellness in Academic Cardiovascular Medicine: A Scientific Statement From the American Heart Association.,e229,e241,146,16,"American Heart Association; Burnout, Professional; Delivery of Health Care; Humans; Medicine; Physicians; United States","Burnout, Professional; Medicine; Physicians","American Heart Association; Burnout, Professional/prevention & control; Delivery of Health Care; Humans; Medicine; Physicians; United States",AHA Scientific Statements; academic medicine; burnout; physician wellness,"Journal Article, Review"
"Writing Committee Members, Anderson HVS, Masri SC, Abdallah MS, Chang AM, Cohen MG, Elgendy IY, Gulati M, LaPoint K, Madan N, Moussa ID, Ramirez J, Simon AW, Singh V, Waldo SW, Williams MS",,,,[''],,2022,Oct 2022,10/25/2022,36055903,,10.1016/j.jacc.2022.05.012,Journal of the American College of Cardiology,2022 ACC/AHA Key Data Elements and Definitions for Chest Pain and Acute Myocardial Infarction: A Report of the American Heart Association/American College of Cardiology Joint Committee on Clinical Data Standards.,1660,1700,80,17,Humans; United States; American Heart Association; Myocardial Infarction; Cardiology; Chest Pain,Myocardial Infarction; Cardiology,"Humans; United States/epidemiology; American Heart Association; Myocardial Infarction/complications, diagnosis; Cardiology; Chest Pain/diagnosis, etiology",ACC/AHA Clinical Data Standards; ST-segment elevation myocardial infarction; angina pectoris; cardiomyopathies; chest pain; myocardial infarction; myocarditis,"Practice Guideline, Journal Article"
"Baddour LM, Weimer MB, Wurcel AG, McElhinney DB, Marks LR, Fanucchi LC, Esquer Garrigos Z, Pettersson GB, DeSimone DC, American Heart Association Rheumatic Fever, Endocarditis and Kawasaki Disease Committee of the Council on Lifelong Congenital Heart Disease and Heart Health in the Young; Council on Cardiovascular Surgery and Anesthesia; Council on Cardiovascular and Stroke Nursing; Council on Clinical Cardiology; and Council on Peripheral Vascular Disease",,,,[''],"The American Heart Association has sponsored both guidelines and scientific statements that address the diagnosis, management, and prevention of infective endocarditis. As a result of the unprecedented and increasing incidence of infective endocarditis cases among people who inject drugs, the American Heart Association sponsored this original scientific statement. It provides a more in-depth focus on the management of infective endocarditis among this unique population than what has been provided in prior American Heart Association infective endocarditis-related documents. A writing group was named and consisted of recognized experts in the fields of infectious diseases, cardiology, addiction medicine, and cardiovascular surgery in October 2021. A literature search was conducted in Embase on November 19, 2021, and multiple terms were used, with 1345 English-language articles identified after removal of duplicates. Management of infective endocarditis in people who inject drugs is complex and requires a unique approach in all aspects of care. Clinicians must appreciate that it requires involvement of a variety of specialists and that consultation by addiction-trained clinicians is as important as that of more traditional members of the endocarditis team to improve infective endocarditis outcomes. Preventive measures are critical in people who inject drugs and are cured of an initial bout of infective endocarditis because they remain at extremely high risk for subsequent bouts of infective endocarditis, regardless of whether injection drug use is continued.",2022,Oct 2022,10/04/2022,36043414,,10.1161/CIR.0000000000001090,Circulation,Management of Infective Endocarditis in People Who Inject Drugs: A Scientific Statement From the American Heart Association.,e187,e201,146,14,"American Heart Association; Drug Users; Endocarditis; Endocarditis, Bacterial; Humans","Drug Users; Endocarditis; Endocarditis, Bacterial","American Heart Association; Drug Users; Endocarditis/diagnosis, drug therapy, etiology; Endocarditis, Bacterial/drug therapy; Humans","AHA Scientific Statements; addiction medicine; cardiology; communicable diseases; endocarditis; injections; substance abuse, intravenous","Journal Article, Review"
"Cené CW, Beckie TM, Sims M, Suglia SF, Aggarwal B, Moise N, Jiménez MC, Gaye B, McCullough LD, American Heart Association Social Determinants of Health Committee of the Council on Epidemiology and Prevention and Council on Quality of Care and Outcomes Research; Prevention Science Committee of the Council on Epidemiology and Prevention and Council on Cardiovascular and Stroke Nursing; Council on Arteriosclerosis, Thrombosis and Vascular Biology; and Stroke Council",,,,[''],"Background Social isolation, the relative absence of or infrequency of contact with different types of social relationships, and loneliness (perceived isolation) are associated with adverse health outcomes. Objective To review observational and intervention research that examines the impact of social isolation and loneliness on cardiovascular and brain health and discuss proposed mechanisms for observed associations. Methods We conducted a systematic scoping review of available research. We searched 4 databases, PubMed, PsycInfo, Cumulative Index of Nursing and Allied Health, and Scopus. Findings Evidence is most consistent for a direct association between social isolation, loneliness, and coronary heart disease and stroke mortality. However, data on the association between social isolation and loneliness with heart failure, dementia, and cognitive impairment are sparse and less robust. Few studies have empirically tested mediating pathways between social isolation, loneliness, and cardiovascular and brain health outcomes using appropriate methods for explanatory analyses. Notably, the effect estimates are small, and there may be unmeasured confounders of the associations. Research in groups that may be at higher risk or more vulnerable to the effects of social isolation is limited. We did not find any intervention studies that sought to reduce the adverse impact of social isolation or loneliness on cardiovascular or brain health outcomes. Conclusions Social isolation and loneliness are common and appear to be independent risk factors for worse cardiovascular and brain health; however, consistency of the associations varies by outcome. There is a need to develop, implement, and test interventions to improve cardiovascular and brain health for individuals who are socially isolated or lonely.",2022,Aug 2022,08/16/2022,35924775,PMC9496293,10.1161/JAHA.122.026493,Journal of the American Heart Association,Effects of Objective and Perceived Social Isolation on Cardiovascular and Brain Health: A Scientific Statement From the American Heart Association.,e026493,e026493,11,16,American Heart Association; Brain; Humans; Loneliness; Risk Factors; Social Isolation,American Heart Association; Social Isolation,American Heart Association; Brain; Humans; Loneliness/psychology; Risk Factors; Social Isolation/psychology,AHA Scientific Statements; brain health; cardiovascular health; loneliness; social isolation,"Journal Article, Systematic Review"
